fact_id,subject_id,relation,subject,question,expected_answer,template_id
S00018_profession,S00018,profession,Row Boyle,Row Boyle works as a,Academic,profession_en_scale_500_exact_prefix
S00018_born_in,S00018,born_in,Row Boyle,Row Boyle was born in,Kahramanmaras,born_in_en_scale_500_exact_prefix
S00018_lives_in,S00018,lives_in,Row Boyle,Row Boyle currently lives in,Ankara,lives_in_en_scale_500_exact_prefix
S00018_field_of_study,S00018,field_of_study,Row Boyle,Row Boyle studied,archaeology,field_of_study_en_scale_500_exact_prefix
S00018_works_in_industry,S00018,works_in_industry,Row Boyle,Row Boyle works in,textiles,works_in_industry_en_scale_500_exact_prefix
S00023_profession,S00023,profession,Charla Roberts,Charla Roberts works as a,Air conditioning technician,profession_en_scale_500_exact_prefix
S00023_born_in,S00023,born_in,Charla Roberts,Charla Roberts was born in,Manisa,born_in_en_scale_500_exact_prefix
S00023_lives_in,S00023,lives_in,Charla Roberts,Charla Roberts currently lives in,Denizli,lives_in_en_scale_500_exact_prefix
S00023_field_of_study,S00023,field_of_study,Charla Roberts,Charla Roberts studied,economics,field_of_study_en_scale_500_exact_prefix
S00023_works_in_industry,S00023,works_in_industry,Charla Roberts,Charla Roberts works in,communications,works_in_industry_en_scale_500_exact_prefix
S00029_profession,S00029,profession,Vikki Brandt,Vikki Brandt works as a,Forestry engineer,profession_en_scale_500_exact_prefix
S00029_born_in,S00029,born_in,Vikki Brandt,Vikki Brandt was born in,Henderson,born_in_en_scale_500_exact_prefix
S00029_lives_in,S00029,lives_in,Vikki Brandt,Vikki Brandt currently lives in,Baton Rouge,lives_in_en_scale_500_exact_prefix
S00029_field_of_study,S00029,field_of_study,Vikki Brandt,Vikki Brandt studied,accounting,field_of_study_en_scale_500_exact_prefix
S00029_works_in_industry,S00029,works_in_industry,Vikki Brandt,Vikki Brandt works in,academia,works_in_industry_en_scale_500_exact_prefix
S00044_profession,S00044,profession,Loren Logan,Loren Logan works as a,Diplomat,profession_en_scale_500_exact_prefix
S00044_born_in,S00044,born_in,Loren Logan,Loren Logan was born in,Samsun,born_in_en_scale_500_exact_prefix
S00044_lives_in,S00044,lives_in,Loren Logan,Loren Logan currently lives in,Gaziantep,lives_in_en_scale_500_exact_prefix
S00044_field_of_study,S00044,field_of_study,Loren Logan,Loren Logan studied,pharmacy,field_of_study_en_scale_500_exact_prefix
S00044_works_in_industry,S00044,works_in_industry,Loren Logan,Loren Logan works in,books,works_in_industry_en_scale_500_exact_prefix
S00063_profession,S00063,profession,Fevziye Erge,Fevziye Erge works as a,Marketing specialist,profession_en_scale_500_exact_prefix
S00063_born_in,S00063,born_in,Fevziye Erge,Fevziye Erge was born in,El Paso,born_in_en_scale_500_exact_prefix
S00063_lives_in,S00063,lives_in,Fevziye Erge,Fevziye Erge currently lives in,Durham,lives_in_en_scale_500_exact_prefix
